cid,iupac_name,smiles_canonical,molecular_formula,hydrogen_bond_acceptors,hydrogen_bond_donors,rotatable_bonds,log_p,molecular_weight,heavy_atom_count,polar_surface_area,atom_surface_coefficient,no_lipinski_violations,cosine_similarity,tanimoto_similarity,combined_75
60978924,4-fluoro-2-phenyl-1H-benzimidazole,C1=CC=C(C=C1)C2=NC3=C(N2)C=CC=C3F,C13H9FN2,1,1,1,3.3690000000000015,212.074976508,16,28.68,0.5578800557880056,0,0.7392032709435823,0.17543859649122806,0.5982621023304938
49748,6-methyl-2-(6-methyl-2-pyridyl)-1H-benzimidazole,CC1=CC2=C(C=C1)N=C(N2)C3=CC=CC(=N3)C,C14H13N3,2,1,1,3.241740000000001,223.110947416,17,41.57,0.4089487611258118,0,0.8797921246854083,0.33962264150943394,0.7447497538914147
136830892,2-(6-chloro-1H-benzimidazol-2-yl)-4-nitro-phenol,C1=CC(=C(C=C1[N+](=O)[O-])C2=NC3=C(N2)C=C(C=C3)Cl)O,C13H8ClN3O3,4,2,2,3.497100000000001,289.025418796,20,92.05,0.2172732210755024,0,0.9749692731578594,0.3114754098360656,0.8090958073274109
19224098,"2-(2,5-dimethoxyphenyl)-1H-benzimidazole",COC1=CC(=C(C=C1)OC)C2=NC3=CC=CC=C3N2,C15H14N2O2,3,1,3,3.2471000000000014,254.105527688,19,47.14,0.4030547305897327,0,0.9294112028519004,0.2542372881355932,0.7606177241728236
35261173,2-(5-iodo-2-furyl)-1H-benzimidazole,C1=CC=C2C(=C1)NC(=N2)C3=CC=C(O3)I,C11H7IN2O,2,1,1,3.427500000000001,309.96031084400005,15,41.82,0.3586800573888092,0,0.8386180259582714,0.38,0.7239635194687035
46906817,2-(2-ethoxyphenyl)-6-nitro-1H-benzimidazole,CCOC1=CC=CC=C1C2=NC3=C(N2)C=C(C=C3)[N+](=O)[O-],C15H13N3O3,4,1,4,3.536800000000002,283.095691276,21,81.05,0.2590993214065392,0,0.9675795326515881,0.31746031746031744,0.8050497288537704
145720,2-(5-nitro-2-furyl)-1H-benzimidazole,C1=CC=C2C(=C1)NC(=N2)C3=CC=C(O3)[N+](=O)[O-],C11H7N3O3,4,1,2,2.7311000000000005,229.048741084,17,84.96,0.2000941619585687,0,0.9964514643202318,0.6818181818181818,0.9177931436947193
136236762,2-[1-(1H-benzimidazol-2-yl)ethylideneamino]acetic acid,CC(=NCC(=O)O)C1=NC2=CC=CC=C2N1,C11H11N3O2,3,2,3,1.4565,217.085126592,16,78.34,0.2042379371968343,0,0.8222688382491173,0.1935483870967742,0.6650887254610315
64723134,2-(5-chloro-2-thienyl)-4-fluoro-1H-benzimidazole,C1=CC2=C(C(=C1)F)N=C(N2)C3=CC=C(S3)Cl,C11H6ClFN2S,2,1,1,4.083900000000001,251.992425092,16,28.68,0.5578800557880056,0,0.7929564248783717,0.15873015873015872,0.6343998583413184
101432364,1-[6-(1-isopropylbenzimidazol-2-yl)-2-pyridyl]ethanone,CC(C)N1C2=CC=CC=C2N=C1C3=NC(=CC=C3)C(=O)C,C17H17N3O,4,0,3,3.881800000000003,279.137162164,21,47.78,0.4395144411887819,0,0.8756753561098345,0.1323529411764706,0.6898447523764936
2738961,"2-(1,3-benzodioxol-5-yl)-4,5,6,7-tetramethyl-1H-benzimidazole",CC1=C(C(=C2C(=C1C)NC(=N2)C3=CC4=C(C=C3)OCO4)C)C,C18H18N2O2,3,1,1,4.192280000000004,294.136827816,22,47.14,0.4666949512091642,0,0.8852964102796432,0.20967741935483872,0.716391662548442
