cid,iupac_name,smiles_canonical,molecular_formula,hydrogen_bond_acceptors,hydrogen_bond_donors,rotatable_bonds,log_p,molecular_weight,heavy_atom_count,polar_surface_area,atom_surface_coefficient,no_lipinski_violations
127048348,"N2-[(3-bromophenyl)methyl]quinazoline-2,4-diamine",C1=CC=C2C(=C1)C(=NC(=N2)NCC3=CC(=CC=C3)Br)N,C15H13BrN4,4,2,3,3.5866000000000007,328.03235851600004,20,63.83,0.31333228889237036,0
2747543,"N-benzylthiazolo[5,4-b]pyridin-2-amine",C1=CC=C(C=C1)CNC2=NC3=C(S2)N=CC=C3,C13H11N3S,4,1,3,3.303400000000001,241.067368352,17,37.81,0.449616503570484,0
86806865,"2-[[(6-bromo-[1,2,4]triazolo[1,5-a]pyridin-2-yl)amino]methyl]-4,6-dichloro-phenol",C1=CC2=NC(=NN2C=C1Br)NCC3=C(C(=CC(=C3)Cl)Cl)O,C13H9BrCl2N4O,5,2,3,4.116300000000002,385.933678368,21,62.45,0.33626901521216973,0
35978085,"5-bromo-2-hydroxy-N-(5-methyl-6,7-dihydro-4H-thiazolo[5,4-c]pyridin-2-yl)benzamide",CN1CCC2=C(C1)SC(=N2)NC(=O)C3=C(C=CC(=C3)Br)O,C14H14BrN3O2S,5,2,2,2.8514000000000013,366.99900978799997,21,65.46000000000001,0.3208065994500458,0
4324212,"3-bromo-N-(6-bromo-1,3-benzothiazol-2-yl)benzamide",C1=CC(=CC(=C1)Br)C(=O)NC2=NC3=C(S2)C=C(C=C3)Br,C14H8Br2N2OS,3,1,2,5.073600000000002,409.87240807600006,20,41.99,0.47630388187663725,1
675544,"2-chloro-4,5-difluoro-N-(1-methylbenzimidazol-2-yl)benzamide",CN1C2=CC=CC=C2N=C1NC(=O)C3=CC(=C(C=C3Cl)F)F,C15H10ClF2N3O,3,1,2,3.757200000000001,321.04804606,22,46.92,0.46888320545609546,0
770962,"3-bromo-N-(4-methyl-1,3-benzothiazol-2-yl)benzamide",CC1=C2C(=CC=C1)SC(=N2)NC(=O)C3=CC(=CC=C3)Br,C15H11BrN2OS,3,1,2,4.619520000000001,345.97754607200005,20,41.99,0.47630388187663725,0
86245835,"2-[[(7-chloro-6-fluoro-1,3-benzothiazol-2-yl)amino]methyl]phenol",C1=CC=C(C(=C1)CNC2=NC3=C(S2)C(=C(C=C3)F)Cl)O,C14H10ClFN2OS,4,2,3,4.406500000000002,308.01863984,20,45.150000000000006,0.44296788482834987,0
11994496,5-bromo-N-(4-butylphenyl)-2-hydroxy-benzamide,CCCCC1=CC=C(C=C1)NC(=O)C2=C(C=CC(=C2)Br)O,C17H18BrNO2,2,2,5,4.749600000000004,347.052090916,21,49.33,0.4257044394891547,0
33678399,"4,5-dimethyl-N-(3-pyridylmethyl)-1,3-benzothiazol-2-amine",CC1=C(C2=C(C=C1)SC(=N2)NCC3=CN=CC=C3)C,C15H15N3S,4,1,3,3.9202400000000024,269.09866848,19,37.81,0.5025125628140703,0
3672299,"2,4-dibromo-6-[[(1-nonylbenzimidazol-2-yl)amino]methyl]phenol",CCCCCCCCCN1C2=CC=CC=C2N=C1NCC3=C(C(=CC(=C3)Br)Br)O,C23H29Br2N3O,4,2,11,7.629600000000006,521.067736748,29,50.08,0.5790734824281151,2
770907,"N-(1,3-benzothiazol-2-yl)-3-bromo-benzamide",C1=CC=C2C(=C1)N=C(S2)NC(=O)C3=CC(=CC=C3)Br,C14H9BrN2OS,3,1,2,4.3111000000000015,331.96189600800005,19,41.99,0.45248868778280543,0
2849750,"(2,5-dimethylphenyl)-(1-methylbenzimidazol-2-yl)diazene",CC1=CC(=C(C=C1)C)N=NC2=NC3=CC=CC=C3N2C,C16H16N4,4,0,2,4.605540000000004,264.137496512,20,42.54,0.4701457451810061,0
676931,2-[[(5-methylisoxazol-3-yl)amino]methyl]phenol,CC1=CC(=NO1)NCC2=CC=CC=C2O,C11H12N2O2,4,2,3,2.3007200000000005,204.089877624,15,58.290000000000006,0.25733401955738544,0
4272333,1-allyl-N-(2-thienylmethyl)benzimidazol-2-amine,C=CCN1C2=CC=CC=C2N=C1NCC3=CC=CS3,C15H15N3S,4,1,5,3.895900000000003,269.09866848,19,29.85,0.6365159128978224,0
14547532,"2-(benzylamino)-5-(chloromethyl)-1H-[1,2,4]triazolo[1,5-a]pyrimidin-7-one",C1=CC=C(C=C1)CNC2=NC3=NC(=CC(=O)N3N2)CCl,C13H12ClN5O,5,2,4,1.7684999999999997,289.073037684,20,75.08000000000001,0.2663825253063399,0
937645,N-[(4-bromophenyl)methyl]-1-methyl-benzimidazol-2-amine,CN1C2=CC=CC=C2N=C1NCC3=CC=C(C=C3)Br,C15H14BrN3,3,1,3,3.9479000000000024,315.037109548,19,29.85,0.6365159128978224,0
972634,1-isopropyl-N-(2-thienylmethyl)benzimidazol-2-amine,CC(C)N1C2=CC=CC=C2N=C1NCC3=CC=CS3,C15H17N3S,4,1,4,4.290800000000003,271.114318544,19,29.85,0.6365159128978224,0
977700,N-[(2-ethoxyphenyl)methyl]-1-methyl-benzimidazol-2-amine,CCOC1=CC=CC=C1CNC2=NC3=CC=CC=C3N2C,C17H19N3O,4,1,5,3.584100000000002,281.152812228,21,39.08,0.5373592630501536,0
79143629,"N-[(4-chlorophenyl)methyl]-6-fluoro-1,3-benzothiazol-2-amine",C1=CC(=CC=C1CNC2=NC3=C(S2)C=C(C=C3)F)Cl,C14H10ClFN2S,3,1,3,4.700900000000002,292.02372522,19,24.92,0.7624398073836276,0
2889270,"N-(1,3-benzothiazol-2-yl)-2-chloro-5-iodo-benzamide",C1=CC=C2C(=C1)N=C(S2)NC(=O)C3=C(C=CC(=C3)I)Cl,C14H8ClIN2OS,3,1,2,4.806600000000001,413.909059556,20,41.99,0.47630388187663725,0
4399362,"3-bromo-N-(4-methoxy-1,3-benzothiazol-2-yl)benzamide",COC1=C2C(=CC=C1)SC(=N2)NC(=O)C3=CC(=CC=C3)Br,C15H11BrN2O2S,4,1,3,4.319700000000002,361.9724606920001,21,51.22,0.4099960952752831,0
5192641,"2,4-dibromo-6-[[(3-octyl-1H-benzimidazol-3-ium-2-yl)amino]methyl]phenolate",CCCCCCCC[N+]1=C(NC2=CC=CC=C21)NCC3=C(C(=CC(=C3)Br)Br)[O-],C22H27Br2N3O,2,2,10,6.0266000000000055,507.052086684,28,54.75999999999999,0.5113221329437546,2
42281699,"4-methoxy-N-(3-pyridylmethyl)-1,3-benzothiazol-2-amine",COC1=C2C(=CC=C1)SC(=N2)NCC3=CN=CC=C3,C14H13N3OS,5,1,4,3.312000000000001,271.077933036,19,47.04,0.40391156462585037,0
16012604,N-(o-tolylmethyl)-1-propyl-benzimidazol-2-amine,CCCN1C2=CC=CC=C2N=C1NCC3=CC=CC=C3C,C18H21N3,3,1,5,4.366820000000003,279.17354767200004,21,29.85,0.7035175879396984,0
936788,N-[(4-chlorophenyl)methyl]-1-methyl-benzimidazol-2-amine,CN1C2=CC=CC=C2N=C1NCC3=CC=C(C=C3)Cl,C15H14ClN3,3,1,3,3.8388000000000027,271.08762512799996,19,29.85,0.6365159128978224,0
1415691,"2-[(1H-benzimidazol-2-ylamino)methyl]-4,6-dibromo-phenol",C1=CC=C2C(=C1)NC(=N2)NCC3=C(C(=CC(=C3)Br)Br)O,C14H11Br2N3O,3,3,3,4.4056000000000015,394.92688617199997,20,60.94,0.32819166393173616,0
125269298,"2-[(4-fluorophenyl)methylamino]-5-methyl-6H-[1,2,4]triazolo[1,5-a]pyrimidin-7-one",CC1=NC2=NC(=NN2C(=O)C1)NCC3=CC=C(C=C3)F,C13H12FN5O,6,1,3,2.1655999999999995,273.102588224,20,72.17,0.2771234585007621,0
5339521,5-bromo-N-[(E)-(2-fluorophenyl)methyleneamino]-2-hydroxy-benzamide,C1=CC=C(C(=C1)C=NNC(=O)C2=C(C=CC(=C2)Br)O)F,C14H10BrFN2O2,3,2,3,3.057700000000001,335.99096787999997,20,61.69,0.3242016534284325,0
15470040,"N-(p-tolylmethyl)-1,3-benzoxazol-2-amine",CC1=CC=C(C=C1)CNC2=NC3=CC=CC=C3O2,C15H14N2O,3,1,3,3.7483200000000023,238.110613068,18,38.06,0.4729374671571203,0
16488542,1-allyl-N-[(3-methyl-2-thienyl)methyl]benzimidazol-2-amine,CC1=C(SC=C1)CNC2=NC3=CC=CC=C3N2CC=C,C16H17N3S,4,1,5,4.204320000000003,283.114318544,20,29.85,0.6700167504187604,0
71300271,"4-fluoro-N-(2-furylmethyl)-1,3-benzothiazol-2-amine",C1=CC(=C2C(=C1)SC(=N2)NCC3=CC=CO3)F,C12H9FN2OS,4,1,3,3.640500000000001,248.041962128,17,38.06,0.4466631634261692,0
101887178,"1,5,6-trimethyl-2-(2-phenylethyl)benzimidazole",CC1=CC2=C(C=C1C)N(C(=N2)CCC3=CC=CC=C3)C,C18H20N2,2,0,3,3.9753400000000028,264.16264864,20,17.82,1.122334455667789,0
787406,4-methyl-2-[[(1-methylbenzimidazol-2-yl)amino]methyl]phenol,CC1=CC(=C(C=C1)O)CNC2=NC3=CC=CC=C3N2C,C16H17N3O,4,2,3,3.199420000000001,267.137162164,20,50.08,0.3993610223642173,0
24285248,5-bromo-N-(5-chloro-2-pyridyl)-2-hydroxy-benzamide,C1=CC(=C(C=C1Br)C(=O)NC2=NC=C(C=C2)Cl)O,C12H8BrClN2O2,3,2,2,3.4554000000000014,325.94576727599997,18,62.22,0.28929604628736744,0
35417261,"6-methyl-N-(2-thienylmethyl)imidazo[2,1-b][1,3,4]thiadiazol-2-amine",CC1=CN2C(=N1)SC(=N2)NCC3=CC=CS3,C10H10N4S2,6,1,3,2.772820000000001,250.03468832,16,42.22,0.37896731406916156,0
105058496,"2-(1,3-benzoxazol-2-ylamino)-2-phenyl-propan-1-ol",CC(CO)(C1=CC=CC=C1)NC2=NC3=CC=CC=C3O2,C16H16N2O2,4,2,4,3.147400000000001,268.121177752,20,58.29,0.343112026076514,0
923826,N-(2-furylmethyl)-1H-benzimidazol-2-amine,C1=CC=C2C(=C1)NC(=N2)NCC3=CC=CO3,C12H11N3O,3,2,3,2.7680000000000007,213.090211972,16,53.85,0.2971216341689879,0
60706537,"N-[(4-methylthiazol-2-yl)methyl]-1,3-benzothiazol-2-amine",CC1=CSC(=N1)CNC2=NC3=CC=CC=C3S2,C12H11N3S2,5,1,3,3.673320000000002,261.039439352,17,37.81,0.449616503570484,0
72049431,"3-[(1,3-benzoxazol-2-ylamino)methyl]-4,6-dimethyl-1H-pyridin-2-one",CC1=CC(=C(C(=O)N1)CNC2=NC3=CC=CC=C3O2)C,C15H15N3O2,4,2,3,2.7450400000000013,269.11642672,20,70.92,0.2820078962210942,0
33678390,"5,7-dimethyl-N-(3-pyridylmethyl)-1,3-benzothiazol-2-amine",CC1=CC(=C2C(=C1)N=C(S2)NCC3=CN=CC=C3)C,C15H15N3S,4,1,3,3.9202400000000024,269.09866848,19,37.81,0.5025125628140703,0
1610635,"2,4-dibromo-6-[[(3-octyl-1H-benzimidazol-3-ium-2-yl)amino]methyl]phenol",CCCCCCCC[N+]1=C(NC2=CC=CC=C21)NCC3=C(C(=CC(=C3)Br)Br)O,C22H28Br2N3O+,2,3,10,6.658600000000006,508.05936313609,28,51.92999999999999,0.5391873676102447,2
5371196,"N-(1,3-benzothiazol-2-yl)benzenecarbothioamide",C1=CC=C(C=C1)C(=S)NC2=NC3=CC=CC=C3S2,C14H10N2S2,3,1,2,4.083900000000002,270.02854032,18,24.92,0.7223113964686998,0
715158,1-[[(1-propylbenzimidazol-2-yl)amino]methyl]naphthalen-2-ol,CCCN1C2=CC=CC=C2N=C1NCC3=C(C=CC4=CC=CC=C43)O,C21H21N3O,4,2,5,4.917200000000005,331.168462292,25,50.08,0.4992012779552716,0
33678370,"4-methyl-N-(3-pyridylmethyl)-1,3-benzothiazol-2-amine",CC1=C2C(=CC=C1)SC(=N2)NCC3=CN=CC=C3,C14H13N3S,4,1,3,3.6118200000000016,255.083018416,18,37.81,0.47606453319227715,0
6622120,"N-benzyl-4-fluoro-1,3-benzothiazol-2-amine",C1=CC=C(C=C1)CNC2=NC3=C(C=CC=C3S2)F,C14H11FN2S,3,1,3,4.047500000000001,258.062697572,18,24.92,0.7223113964686998,0
1346262,"3-bromo-N-(6-methoxy-1,3-benzothiazol-2-yl)benzamide",COC1=CC2=C(C=C1)N=C(S2)NC(=O)C3=CC(=CC=C3)Br,C15H11BrN2O2S,4,1,3,4.319700000000002,361.9724606920001,21,51.22,0.4099960952752831,0
164618628,3-bromo-4-methyl-N-(2-quinolyl)benzamide,CC1=C(C=C(C=C1)C(=O)NC2=NC3=CC=CC=C3C=C2)Br,C17H13BrN2O,2,1,2,4.558020000000002,340.021125136,21,41.99,0.5001190759704691,0
2583692,N-(1H-benzimidazol-2-yl)-3-iodo-benzamide,C1=CC=C2C(=C1)NC(=N2)NC(=O)C3=CC(=CC=C3)I,C14H10IN3O,2,2,2,3.4198000000000013,362.98685994,19,57.78,0.3288335064035999,0
102441309,"2-[(E)-2-(3-bromophenyl)vinyl]-5-fluoro-1,3-benzoxazole",C1=CC(=CC(=C1)Br)C=CC2=NC3=C(O2)C=CC(=C3)F,C15H9BrFNO,2,0,2,4.899800000000002,316.98515422800006,19,26.03,0.7299270072992701,0
163409288,"2-[(3-bromophenyl)methylamino]-4,5,6,7-tetrahydrobenzothiophene-3-carbonitrile",C1CCC2=C(C1)C(=C(S2)NCC3=CC(=CC=C3)Br)C#N,C16H15BrN2S,3,1,3,4.873180000000002,346.0139315800001,20,35.82,0.5583472920156337,0
136738960,"2-(4,5,6,7-tetrahydro-1,3-benzothiazol-2-yliminomethyl)phenol",C1CCC2=C(C1)N=C(S2)N=CC3=CC=CC=C3O,C14H14N2OS,4,1,2,3.4781000000000026,258.082684068,18,45.480000000000004,0.39577836411609496,0
666751,N-benzyl-6-methoxy-1H-benzimidazol-2-amine,COC1=CC2=C(C=C1)N=C(N2)NCC3=CC=CC=C3,C15H15N3O,3,2,4,3.183600000000001,253.1215121,19,49.94,0.38045654785742894,0
5339513,N-[(E)-benzylideneamino]-5-bromo-2-hydroxy-benzamide,C1=CC=C(C=C1)C=NNC(=O)C2=C(C=CC(=C2)Br)O,C14H11BrN2O2,3,2,3,2.918600000000001,318.000389692,19,61.69,0.3079915707570109,0
934692,"4-chloro-N-[(4-fluorophenyl)methyl]-1,3-benzothiazol-2-amine",C1=CC2=C(C(=C1)Cl)N=C(S2)NCC3=CC=C(C=C3)F,C14H10ClFN2S,3,1,3,4.700900000000002,292.02372522,19,24.92,0.7624398073836276,0
787402,2-[(1H-benzimidazol-2-ylamino)methyl]-4-methyl-phenol,CC1=CC(=C(C=C1)O)CNC2=NC3=CC=CC=C3N2,C15H15N3O,3,3,3,3.18902,253.1215121,19,60.94,0.31178208073514935,0
80047697,"6-methyl-N-[(2-methylpyrimidin-4-yl)methyl]-[1,2,4]triazolo[1,5-a]pyridin-2-amine",CC1=CN2C(=NC(=N2)NCC3=NC(=NC=C3)C)C=C1,C13H14N6,6,1,3,1.7482399999999998,254.12799444799998,19,68.0,0.27941176470588236,0
1421252,"2,4-dibromo-6-[[(3-ethyl-1H-benzimidazol-3-ium-2-yl)amino]methyl]phenolate",CC[N+]1=C(NC2=CC=CC=C21)NCC3=C(C(=CC(=C3)Br)Br)[O-],C16H15Br2N3O,2,2,4,3.6860000000000017,422.9581863,22,54.75999999999999,0.40175310445580725,0
890096,4-bromo-2-[[(6-methyl-2-pyridyl)amino]methyl]phenol,CC1=NC(=CC=C1)NCC2=C(C=CC(=C2)Br)O,C13H13BrN2O,3,2,3,3.4702200000000016,292.02112513599997,17,45.150000000000006,0.3765227021040974,0
3794695,4-bromo-2-[[(1-octylbenzimidazol-2-yl)amino]methyl]phenol,CCCCCCCCN1C2=CC=CC=C2N=C1NCC3=C(C=CC(=C3)Br)O,C22H28BrN3O,4,2,10,6.477000000000006,429.141574616,27,50.08,0.5391373801916933,1
136662695,"2-(1,3-benzothiazol-2-ylazo)-4-methyl-naphthalen-1-ol",CC1=CC(=C(C2=CC=CC=C12)O)N=NC3=NC4=CC=CC=C4S3,C18H13N3OS,5,1,2,5.878920000000004,319.077933036,23,57.84,0.39764868603042874,1
53259946,2-hydroxy-5-iodo-N-(p-tolyl)benzamide,CC1=CC=C(C=C1)NC(=O)C2=C(C=CC(=C2)I)O,C14H12INO2,2,2,2,3.5575200000000016,352.99127662399997,18,49.33,0.3648895195621326,0
10332809,"6-chloro-N-(2-pyridylmethyl)-1,3-benzoxazol-2-amine",C1=CC=NC(=C1)CNC2=NC3=C(O2)C=C(C=C3)Cl,C13H10ClN3O,4,1,3,3.4883000000000015,259.05123962,18,50.95,0.35328753680078506,0
938000,N-[(3-methoxyphenyl)methyl]-1-methyl-benzimidazol-2-amine,CN1C2=CC=CC=C2N=C1NCC3=CC(=CC=C3)OC,C16H17N3O,4,1,4,3.1940000000000017,267.137162164,20,39.08,0.5117707267144319,0
4644695,4-bromo-2-[[(3-hexadecyl-1H-benzimidazol-3-ium-2-yl)amino]methyl]phenol,CCCCCCCCCCCCCCCC[N+]1=C(NC2=CC=CC=C21)NCC3=C(C=CC(=C3)Br)O,C30H45BrN3O+,2,3,18,9.016900000000001,542.2740515800899,35,51.92999999999999,0.6739842095128058,2
103607913,5-bromo-N-(4-chloro-2-fluoro-phenyl)-2-hydroxy-benzamide,C1=CC(=C(C=C1Cl)F)NC(=O)C2=C(C=CC(=C2)Br)O,C13H8BrClFNO2,2,2,2,4.199500000000002,342.94109649599994,19,49.33,0.3851611595378066,0
563446,N-benzyl-1H-benzimidazol-2-amine,C1=CC=C(C=C1)CNC2=NC3=CC=CC=C3N2,C14H13N3,2,2,3,3.1750000000000007,223.110947416,17,40.71,0.4175878162613608,0
