cid,iupac_name,smiles_canonical,molecular_formula,hydrogen_bond_acceptors,hydrogen_bond_donors,rotatable_bonds,log_p,molecular_weight,heavy_atom_count,polar_surface_area,atom_surface_coefficient,no_lipinski_violations
86794349,5-chloro-1-methyl-N-[(2-methylpyrazol-3-yl)methyl]benzimidazol-2-amine,CN1C2=C(C=C(C=C2)Cl)N=C1NCC3=CC=NN3C,C13H14ClN5,5,1,3,2.5723000000000003,275.093773128,19,47.67,0.3985735263268303,0
51033097,(E)-N-(1H-benzimidazol-2-yl)-1-(3-bromophenyl)ethanimine,CC(=NC1=NC2=CC=CC=C2N1)C3=CC(=CC=C3)Br,C15H12BrN3,2,1,2,4.466100000000002,313.021459484,19,41.04,0.46296296296296297,0
4287195,"5,6-dimethyl-2-(m-tolylmethylamino)-1H-[1,2,4]triazolo[1,5-a]pyrimidin-7-one",CC1=CC(=CC=C1)CNC2=NC3=NC(=C(C(=O)N3N2)C)C,C15H17N5O,5,2,3,1.9549599999999998,283.143310164,21,75.08000000000001,0.27970165157165683,0
16488536,1-methyl-N-(o-tolylmethyl)benzimidazol-2-amine,CC1=CC=CC=C1CNC2=NC3=CC=CC=C3N2C,C16H17N3,3,1,3,3.4938200000000013,251.14224754399999,19,29.85,0.6365159128978224,0
4016874,4-bromo-2-[[(3-nonyl-1H-benzimidazol-3-ium-2-yl)amino]methyl]phenolate,CCCCCCCCC[N+]1=C(NC2=CC=CC=C21)NCC3=C(C=CC(=C3)Br)[O-],C23H30BrN3O,2,2,11,5.654200000000005,443.15722467999996,28,54.75999999999999,0.5113221329437546,1
43680329,4-chloro-2-[(2-naphthylamino)methyl]phenol,C1=CC=C2C=C(C=CC2=C1)NCC3=C(C=CC(=C3)Cl)O,C17H14ClNO,2,2,3,4.810900000000003,283.076391748,20,32.26,0.6199628022318662,0
1847983,"2-(benzylamino)-6-chloro-5-methyl-1H-[1,2,4]triazolo[1,5-a]pyrimidin-7-one",CC1=C(C(=O)N2C(=N1)N=C(N2)NCC3=CC=CC=C3)Cl,C13H12ClN5O,5,2,3,1.9915199999999997,289.073037684,20,75.08,0.26638252530633993,0
3926207,N-[(4-methoxyphenyl)methyl]-1-propyl-benzimidazol-2-amine,CCCN1C2=CC=CC=C2N=C1NCC3=CC=C(C=C3)OC,C18H21N3O,4,1,6,4.067000000000003,295.168462292,22,39.08,0.5629477993858751,0
134854259,N-benzyl-1-prop-2-ynyl-benzimidazol-2-amine,C#CCN1C2=CC=CC=C2N=C1NCC3=CC=CC=C3,C17H15N3,3,1,4,3.281600000000001,261.12659748,20,29.85,0.6700167504187604,0
136269933,"2-(2-quinolylazo)benzene-1,3-diol",C1=CC=C2C(=C1)C=CC(=N2)N=NC3=C(C=CC=C3O)O,C15H11N3O2,5,2,2,4.061400000000003,265.085126592,20,78.07000000000001,0.2561803509670808,0
975633,N-[[4-(dimethylamino)phenyl]methyl]-1-isopropyl-benzimidazol-2-amine,CC(C)N1C2=CC=CC=C2N=C1NCC3=CC=C(C=C3)N(C)C,C19H24N4,4,1,5,4.295300000000003,308.200096768,23,33.09,0.6950740404956179,0
135063402,1-methyl-2-[2-(o-tolyl)ethyl]benzimidazole,CC1=CC=CC=C1CCC2=NC3=CC=CC=C3N2C,C17H18N2,2,0,3,3.666920000000003,250.146998576,19,17.82,1.0662177328843996,0
1357117,"N-(1,3-benzothiazol-2-yl)-3-bromo-4-methoxy-benzamide",COC1=C(C=C(C=C1)C(=O)NC2=NC3=CC=CC=C3S2)Br,C15H11BrN2O2S,4,1,3,4.319700000000002,361.9724606920001,21,51.22,0.4099960952752831,0
16488539,4-[[(1-ethylbenzimidazol-2-yl)amino]methyl]phenol,CCN1C2=CC=CC=C2N=C1NCC3=CC=C(C=C3)O,C16H17N3O,4,2,4,3.373900000000002,267.137162164,20,50.08,0.3993610223642173,0
53003171,"2-[(3,5-difluorophenyl)methylamino]-5-methyl-1H-[1,2,4]triazolo[1,5-a]pyrimidin-7-one",CC1=CC(=O)N2C(=N1)N=C(N2)NCC3=CC(=CC(=C3)F)F,C13H11F2N5O,5,2,3,1.6163199999999995,291.093166412,21,75.08,0.2797016515716569,0
16488538,1-allyl-N-(o-tolylmethyl)benzimidazol-2-amine,CC1=CC=CC=C1CNC2=NC3=CC=CC=C3N2CC=C,C18H19N3,3,1,5,4.142820000000003,277.15789760800004,21,29.85,0.7035175879396984,0
136910566,"4-bromo-2-[(Z)-[(Z)-(3-methyl-1,3-benzothiazol-2-ylidene)hydrazono]methyl]phenol",CN1C2=CC=CC=C2SC1=NN=CC3=C(C=CC(=C3)Br)O,C15H12BrN3OS,5,1,2,3.642700000000002,360.98844510399994,21,49.879999999999995,0.42101042502004815,0
6619020,N-[(4-bromophenyl)methyl]-1-ethyl-benzimidazol-2-amine,CCN1C2=CC=CC=C2N=C1NCC3=CC=C(C=C3)Br,C16H16BrN3,3,1,4,4.430800000000002,329.052759612,20,29.85,0.6700167504187604,0
715153,4-chloro-2-[[(1-ethylbenzimidazol-2-yl)amino]methyl]phenol,CCN1C2=CC=CC=C2N=C1NCC3=C(C=CC(=C3)Cl)O,C16H16ClN3O,4,2,4,4.027300000000003,301.09818981199993,21,50.08,0.41932907348242815,0
136745950,"4-bromo-2-[(6-methyl-1,3-benzothiazol-2-yl)azo]phenol",CC1=CC2=C(C=C1)N=C(S2)N=NC3=C(C=CC(=C3)Br)O,C14H10BrN3OS,5,1,2,5.488220000000003,346.97279503999994,20,57.84,0.3457814661134163,1
924788,N-benzyl-1-isobutyl-benzimidazol-2-amine,CC(C)CN1C2=CC=CC=C2N=C1NCC3=CC=CC=C3,C18H21N3,3,1,5,4.304400000000003,279.17354767200004,21,29.85,0.7035175879396984,0
665867,N-benzyl-6-methyl-1H-benzimidazol-2-amine,CC1=CC2=C(C=C1)N=C(N2)NCC3=CC=CC=C3,C15H15N3,2,2,3,3.4834200000000006,237.12659748,18,40.71,0.4421518054532056,0
136241720,"2-(1,3-benzothiazol-2-ylazo)-4,5-dimethyl-phenol",CC1=CC(=C(C=C1C)O)N=NC2=NC3=CC=CC=C3S2,C15H13N3OS,5,1,2,5.034140000000003,283.077933036,20,57.84,0.3457814661134163,1
7513161,"N-benzyl-6-methylsulfanyl-1,3-benzothiazol-2-amine",CSC1=CC2=C(C=C1)N=C(S2)NCC3=CC=CC=C3,C15H14N2S2,4,1,4,4.630300000000003,286.059840448,19,24.92,0.7624398073836276,0
1215902,"5-bromo-2-chloro-N-(6-methyl-1,3-benzothiazol-2-yl)benzamide",CC1=CC2=C(C=C1)N=C(S2)NC(=O)C3=C(C=CC(=C3)Br)Cl,C15H10BrClN2OS,3,1,2,5.272920000000002,379.93857372,21,41.99,0.5001190759704691,1
134146371,N-(5-bromo-2-hydroxy-phenyl)-1H-indole-2-carboxamide,C1=CC=C2C(=C1)C=C(N2)C(=O)NC3=C(C=CC(=C3)Br)O,C15H11BrN2O2,2,3,2,3.8883000000000014,330.000389692,20,65.12,0.3071253071253071,0
1386286,"2,4-dibromo-6-[[(3-methyl-1H-benzimidazol-3-ium-2-yl)amino]methyl]phenol",C[N+]1=C(NC2=CC=CC=C21)NCC3=C(C(=CC(=C3)Br)Br)O,C15H14Br2N3O+,2,3,3,3.835100000000002,409.94981268809,21,51.92999999999999,0.40439052570768347,0
1314944,"5-bromo-2-chloro-N-(6-chloro-1,3-benzothiazol-2-yl)benzamide",C1=CC2=C(C=C1Cl)SC(=N2)NC(=O)C3=C(C=CC(=C3)Br)Cl,C14H7BrCl2N2OS,3,1,2,5.6179000000000014,399.883951304,21,41.99,0.5001190759704691,1
11550553,N-indan-1-yl-1H-benzimidazol-2-amine,C1CC2=CC=CC=C2C1NC3=NC4=CC=CC=C4N3,C16H15N3,2,2,2,3.662300000000002,249.12659748,19,40.71,0.46671579464505036,0
83316748,"2-[(1,3-benzothiazol-2-ylamino)methyl]phenol",C1=CC=C(C(=C1)CNC2=NC3=CC=CC=C3S2)O,C14H12N2OS,4,2,3,3.614000000000001,256.067034004,18,45.150000000000006,0.3986710963455149,0
588917,5-bromo-2-hydroxy-N-(3-quinolyl)benzamide,C1=CC=C2C(=C1)C=C(C=N2)NC(=O)C3=C(C=CC(=C3)Br)O,C16H11BrN2O2,3,2,2,3.955200000000001,342.000389692,21,62.22,0.33751205400192863,0
11994371,5-bromo-2-hydroxy-N-(4-propylphenyl)benzamide,CCCC1=CC=C(C=C1)NC(=O)C2=C(C=CC(=C2)Br)O,C16H16BrNO2,2,2,4,4.359500000000003,333.036440852,20,49.33,0.40543279951348066,0
2958796,"5-bromo-N-(4-chloro-1,3-benzothiazol-2-yl)-2-methoxy-3-methyl-benzamide",CC1=CC(=CC(=C1OC)C(=O)NC2=NC3=C(S2)C=CC=C3Cl)Br,C16H12BrClN2O2S,4,1,3,5.281520000000002,409.949138404,23,51.22,0.4490433424443577,1
82671151,2-[(pyrimidin-2-ylamino)methyl]phenol,C1=CC=C(C(=C1)CNC2=NC=CC=N2)O,C11H11N3O,4,2,3,1.7942999999999993,201.090211972,15,58.040000000000006,0.2584424534803583,0
715201,2-methoxy-6-[[(1-methylbenzimidazol-2-yl)amino]methyl]phenol,CN1C2=CC=CC=C2N=C1NCC3=C(C(=CC=C3)OC)O,C16H17N3O2,5,2,4,2.899600000000001,283.132076784,21,59.31,0.35407182599898834,0
4398933,4-bromo-2-[[(3-pentyl-1H-benzimidazol-3-ium-2-yl)amino]methyl]phenolate,CCCCC[N+]1=C(NC2=CC=CC=C21)NCC3=C(C=CC(=C3)Br)[O-],C19H22BrN3O,2,2,7,4.0938000000000025,387.09462442399996,24,54.75999999999999,0.4382761139517897,0
52108341,"N2-benzyl-N4-methyl-quinazoline-2,4-diamine",CNC1=NC(=NC2=CC=CC=C21)NCC3=CC=CC=C3,C16H16N4,4,2,4,3.2836000000000016,264.137496512,20,49.84,0.40128410914927765,0
