cid,iupac_name,smiles_canonical,molecular_formula,hydrogen_bond_acceptors,hydrogen_bond_donors,rotatable_bonds,log_p,molecular_weight,heavy_atom_count,polar_surface_area,atom_surface_coefficient,no_lipinski_violations,cosine_similarity,tanimoto_similarity,combined_25,combined_50,combined_75,combined_geometric,combined_harmonic,actividad_predicha
10332809,"6-chloro-N-(2-pyridylmethyl)-1,3-benzoxazol-2-amine",C1=CC=NC(=C1)CNC2=NC3=C(O2)C=C(C=C3)Cl,C13H10ClN3O,4,1,3,3.4883000000000015,259.05123962,18,50.95,0.353287536800785,0,0.9472837301455284,0.1969696969696969,0.3845482052636548,0.5721267135576127,0.7597052218515704,0.4319562353654463,0.326127385506707,Alta
938000,N-[(3-methoxyphenyl)methyl]-1-methyl-benzimidazol-2-amine,CN1C2=CC=CC=C2N=C1NCC3=CC(=CC=C3)OC,C16H17N3O,4,1,4,3.1940000000000017,267.137162164,20,39.08,0.5117707267144319,0,0.951562086949636,0.490566037735849,0.6058150500392958,0.7210640623427425,0.8363130746461892,0.6832305925926754,0.6473822050399913,Media
4644695,4-bromo-2-[[(3-hexadecyl-1H-benzimidazol-3-ium-2-yl)amino]methyl]phenol,CCCCCCCCCCCCCCCC[N+]1=C(NC2=CC=CC=C21)NCC3=C(C=CC(=C3)Br)O,C30H45BrN3O+,2,3,18,9.0169,542.2740515800899,35,51.92999999999999,0.6739842095128058,2,0.8183777983239975,0.390625,0.4975631995809993,0.6045013991619987,0.7114395987429981,0.5654014745915609,0.5288305832103485,Media
103607913,5-bromo-N-(4-chloro-2-fluoro-phenyl)-2-hydroxy-benzamide,C1=CC(=C(C=C1Cl)F)NC(=O)C2=C(C=CC(=C2)Br)O,C13H8BrClFNO2,2,2,2,4.199500000000002,342.94109649599994,19,49.33,0.3851611595378066,0,0.9575823412546683,0.2419354838709677,0.4208471982168929,0.5997589125628181,0.7786706269087433,0.481324367841212,0.3862771227321732,Alta
563446,N-benzyl-1H-benzimidazol-2-amine,C1=CC=C(C=C1)CNC2=NC3=CC=CC=C3N2,C14H13N3,2,2,3,3.1750000000000007,223.110947416,17,40.71,0.4175878162613608,0,0.9249634297048874,0.2321428571428571,0.4053480002833647,0.5785531434238723,0.7517582865643798,0.46338283667433,0.3711390315047226,Media
134146320,5-bromo-4-chloro-2-hydroxy-N-[4-(trifluoromethyl)phenyl]benzamide,C1=CC(=CC=C1C(F)(F)F)NC(=O)C2=CC(=C(C=C2O)Cl)Br,C14H8BrClF3NO2,2,2,2,5.079200000000002,392.937902936,22,49.33,0.4459760794648287,1,0.9413537176777136,0.1470588235294117,0.3456325470664872,0.5442062706035626,0.7427799941406381,0.3720676957849506,0.2543784916208136,Media
51047295,4-bromo-2-[(2-chloroanilino)methyl]phenol,C1=CC=C(C(=C1)NCC2=C(C=CC(=C2)Br)O)Cl,C13H11BrClNO,2,2,3,4.420200000000002,310.971253752,17,32.26,0.5269683818970862,0,0.9349070484213176,0.4897959183673469,0.6010737008808396,0.7123514833943323,0.823629265907825,0.6766931774221053,0.6428198256676337,Media
122194076,"N-[(3-amino-6-chloro-pyrazin-2-yl)methyl]-1,3-benzothiazol-2-amine",C1=CC=C2C(=C1)N=C(S2)NCC3=NC(=CN=C3N)Cl,C12H10ClN5S,6,2,3,2.934,291.034544,19,76.72,0.2476538060479666,0,0.9516425389906562,0.1940298507462686,0.3834330228073656,0.5728361948684624,0.7622393669295593,0.429705782837696,0.3223383254379671,Media
136631900,"2-(1,3-benzothiazol-2-ylazo)-4-methoxy-phenol",COC1=CC(=C(C=C1)O)N=NC2=NC3=CC=CC=C3S2,C14H11N3O2S,6,1,3,4.425900000000002,285.057197592,20,67.07,0.2981959147159684,0,0.8986059195091524,0.2307692307692307,0.3977284029542112,0.5646875751391915,0.731646747324172,0.4553796183513315,0.3672306704440752,Media
3698749,"2,4-dibromo-6-[[(1-pentylbenzimidazol-2-yl)amino]methyl]phenol",CCCCCN1C2=CC=CC=C2N=C1NCC3=C(C(=CC(=C3)Br)Br)O,C19H21Br2N3O,4,2,7,6.069200000000005,465.0051364920001,25,50.08,0.4992012779552716,1,0.9450284155480018,0.5344827586206896,0.6371191728525176,0.7397555870843457,0.8423920013161736,0.7107048575302095,0.68279497084683,Media
