cid,iupac_name,smiles_canonical,molecular_formula,hydrogen_bond_acceptors,hydrogen_bond_donors,rotatable_bonds,log_p,molecular_weight,heavy_atom_count,polar_surface_area,atom_surface_coefficient,no_lipinski_violations,actividad_predicha,probabilidad_leishmania,tanimoto_similarity,cosine_similarity,combined_75
755544,"2-(3,4,5-trimethoxyphenyl)-1H-benzimidazole",COC1=CC(=CC(=C1OC)OC)C2=NC3=CC=CC=C3N2,C16H16N2O3,4,1,4,3.255700000000001,284.116092372,21,56.37,0.3725385843533795,0,Alta,0.894,0.2631578947368421,0.9331676308502485,0.7656651968218967
158393,6-fluoro-2-(5-nitro-2-furyl)-1H-benzimidazole,C1=CC2=C(C=C1F)NC(=N2)C3=CC=C(O3)[N+](=O)[O-],C11H6FN3O3,4,1,2,2.8702000000000014,247.039319272,18,84.96,0.211864406779661,0,Alta,0.892,0.625,0.9991245668184172,0.9055934251138128
44587902,"2-(3,4-dimethoxyphenyl)-6-fluoro-1H-benzimidazole",COC1=C(C=C(C=C1)C2=NC3=C(N2)C=C(C=C3)F)OC,C15H13FN2O2,3,1,3,3.3862000000000014,272.096105876,20,47.14,0.4242681374628765,0,Alta,0.89,0.2295081967213114,0.9200242062088022,0.7473952038369295
19224120,2-(3-ethoxyphenyl)-1H-benzimidazole,CCOC1=CC=CC(=C1)C2=NC3=CC=CC=C3N2,C15H14N2O,2,1,3,3.6286000000000014,238.110613068,18,37.91,0.474808757583751,0,Alta,0.884,0.25,0.8522005664452723,0.7016504248339542
14592771,6-chloro-2-(5-nitro-2-furyl)-1H-benzimidazole,C1=CC2=C(C=C1Cl)NC(=N2)C3=CC=C(O3)[N+](=O)[O-],C11H6ClN3O3,4,1,2,3.384500000000001,263.009768732,18,84.96,0.211864406779661,0,Alta,0.88,0.625,0.996522436491031,0.9036418273682733
2731165,"2-(4-methoxyphenyl)-5,6-dimethyl-1H-benzimidazole",CC1=CC2=C(C=C1C)N=C(N2)C3=CC=C(C=C3)OC,C16H16N2O,2,1,2,3.855340000000002,252.126263132,19,37.91,0.5011870218939595,0,Alta,0.88,0.2909090909090909,0.8504454768496068,0.7105613803644779
145720,2-(5-nitro-2-furyl)-1H-benzimidazole,C1=CC=C2C(=C1)NC(=N2)C3=CC=C(O3)[N+](=O)[O-],C11H7N3O3,4,1,2,2.7311000000000005,229.048741084,17,84.96,0.2000941619585687,0,Alta,0.878,0.6818181818181818,0.9964514643202318,0.9177931436947192
278830,2-(3-nitrophenyl)-1H-benzimidazole,C1=CC=C2C(=C1)NC(=N2)C3=CC(=CC=C3)[N+](=O)[O-],C13H9N3O2,3,1,2,3.1381000000000014,239.069476528,18,71.82,0.2506265664160401,0,Alta,0.876,0.3703703703703703,0.9858018695849042,0.8319439947812708
21404692,2-(1-methyl-5-nitro-imidazol-2-yl)-1H-benzimidazole,CN1C(=CN=C1C2=NC3=CC=CC=C3N2)[N+](=O)[O-],C11H9N5O2,5,1,2,1.8715999999999997,243.075624528,18,89.64,0.2008032128514056,0,Alta,0.876,0.3684210526315789,0.9371648071677272,0.79497886853369
924716,"2-(3,4-dimethoxyphenyl)-6-methyl-1H-benzimidazole",CC1=CC2=C(C=C1)N=C(N2)C3=CC(=C(C=C3)OC)OC,C16H16N2O2,3,1,3,3.5555200000000022,268.121177752,20,47.14,0.4242681374628765,0,Alta,0.876,0.3214285714285714,0.9172696210942302,0.7683093586778155
624993,6-nitro-2-(3-nitrophenyl)-1H-benzimidazole,C1=CC(=CC(=C1)[N+](=O)[O-])C2=NC3=C(N2)C=C(C=C3)[N+](=O)[O-],C13H8N4O4,5,1,3,3.0463000000000013,284.05455473599994,21,114.96,0.1826722338204592,0,Alta,0.874,0.3454545454545454,0.9819319145515124,0.8228125722772708
14592769,2-(5-nitro-2-furyl)-6-(trifluoromethyl)-1H-benzimidazole,C1=CC2=C(C=C1C(F)(F)F)NC(=N2)C3=CC=C(O3)[N+](=O)[O-],C12H6F3N3O3,4,1,2,3.749900000000001,297.03612571199994,21,84.96,0.2471751412429378,0,Alta,0.872,0.5882352941176471,0.9820155336200452,0.8835704737444458
3065146,5-(6-nitro-1H-benzimidazol-2-yl)furan-2-carbaldehyde,C1=CC2=C(C=C1[N+](=O)[O-])NC(=N2)C3=CC=C(O3)C=O,C12H7N3O4,5,1,3,2.5436000000000005,257.043655704,19,102.03,0.186219739292365,0,Alta,0.872,0.4545454545454545,0.972531884964606,0.8430352773598181
12855,2-phenyl-1H-benzimidazole,C1=CC=C(C=C1)C2=NC3=CC=CC=C3N2,C13H10N2,1,1,1,3.2299000000000015,194.08439832,15,28.68,0.5230125523012552,0,Alta,0.872,0.2653061224489796,0.7270506623357703,0.6116145273640726
122401313,"2-(2,6-dideuteriophenyl)-1H-benzimidazole",C1=CC=C(C=C1)C2=NC3=CC=CC=C3N2,C13H10N2,1,1,1,3.2299000000000015,194.08439832,15,28.68,0.5230125523012552,0,Alta,0.872,0.2653061224489796,0.7270506623357703,0.6116145273640726
